,open,high,low,close,volume,datetime
0,390.55,390.66,390.55,390.61,5500,1616756400000
1,390.63,390.63,390.63,390.63,308,1616756460000
2,390.6,390.6,390.6,390.6,1800,1616756520000
3,390.62,390.62,390.52,390.52,997,1616756580000
4,390.49,390.49,390.4,390.4,1400,1616756640000
5,390.4,390.4,390.38,390.38,750,1616756700000
6,390.37,390.42,390.37,390.42,3266,1616756760000
7,390.42,390.55,390.42,390.49,1275,1616756820000
8,390.56,390.67,390.56,390.67,300,1616756880000
9,390.7,390.74,390.7,390.7,1302,1616756940000
10,390.69,390.69,390.6,390.6,14405,1616757180000
11,390.58,390.6,390.57,390.58,10623,1616757240000
12,390.58,390.58,390.58,390.58,150,1616757300000
13,390.53,390.53,390.47,390.47,800,1616757360000
14,390.51,390.54,390.48,390.48,29438,1616757420000
15,390.5,390.5,390.5,390.5,2000,1616757480000
16,390.49,390.49,390.49,390.49,100,1616757540000
17,390.43,390.43,390.42,390.42,200,1616757600000
18,390.32,390.32,390.32,390.32,300,1616757660000
19,390.3,390.31,390.3,390.31,1000,1616757720000
20,390.27,390.27,390.24,390.24,2390,1616757780000
21,390.2,390.33,390.15,390.33,3838,1616757840000
22,390.34,390.39,390.33,390.36,1400,1616757900000
23,390.36,390.42,390.36,390.4,2960,1616757960000
24,390.3,390.3,390.3,390.3,100,1616758020000
25,390.21,390.21,390.14,390.15,3226,1616758080000
26,390.15,390.17,390.08,390.08,3766,1616758140000
27,390.08,390.1,390.08,390.1,1020,1616758200000
28,390.1,390.19,390.1,390.13,968,1616758260000
29,390.24,390.24,390.17,390.21,689,1616758320000
30,390.24,390.29,390.24,390.28,1100,1616758380000
31,390.26,390.31,390.26,390.31,1838,1616758440000
32,390.37,390.37,390.33,390.33,634,1616758500000
33,390.41,390.44,390.41,390.42,424,1616758560000
34,390.38,390.38,390.38,390.38,4898,1616758620000
35,390.33,390.39,390.32,390.39,21571,1616758680000
36,390.41,390.42,390.41,390.42,500,1616758740000
37,390.4,390.43,390.4,390.42,4600,1616758800000
38,390.43,390.46,390.4,390.45,9285,1616758860000
39,390.42,390.42,390.33,390.36,7499,1616758920000
40,390.31,390.38,390.3,390.38,1720,1616758980000
41,390.37,390.4,390.37,390.4,3436,1616759040000
42,390.4,390.45,390.4,390.44,16445,1616759100000
43,390.46,390.49,390.44,390.47,6300,1616759160000
44,390.46,390.51,390.37,390.37,13359,1616759220000
45,390.42,390.42,390.42,390.42,100,1616759280000
46,390.4,390.42,390.39,390.39,5485,1616759340000
47,390.4,390.4,390.4,390.4,111,1616759400000
48,390.39,390.46,390.35,390.39,17600,1616759460000
49,390.44,390.44,390.4,390.4,300,1616759520000
50,390.4,390.4,390.4,390.4,602,1616759580000
51,390.42,390.43,390.42,390.43,400,1616759640000
52,390.52,390.55,390.52,390.55,820,1616759700000
53,390.54,390.74,390.54,390.69,21722,1616759760000
54,390.76,391.03,390.74,390.74,28358,1616759820000
55,390.72,390.72,390.64,390.65,3984,1616759880000
56,390.67,390.67,390.61,390.61,10514,1616759940000
57,390.65,390.65,390.58,390.58,1501,1616760000000
58,390.52,390.58,390.41,390.41,14493,1616760060000
59,390.51,390.51,390.44,390.44,1820,1616760120000
60,390.44,390.44,390.31,390.31,20816,1616760180000
61,390.29,390.31,390.25,390.25,3525,1616760240000
62,390.23,390.25,390.21,390.25,9483,1616760300000
63,390.27,390.29,390.25,390.25,11417,1616760420000
64,390.27,390.3,390.25,390.27,22895,1616760480000
65,390.21,390.21,390.17,390.2,5894,1616760540000
66,390.2,390.3,390.16,390.27,35069,1616760600000
67,390.26,390.58,390.23,390.25,11665,1616760660000
68,390.2,390.31,390.2,390.21,36408,1616760720000
69,390.21,390.24,390.2,390.24,2500,1616760780000
70,390.22,390.3,390.2,390.26,31875,1616760840000
71,390.27,390.27,390.17,390.21,6154,1616760900000
72,390.19,390.19,390.19,390.19,400,1616760960000
73,390.15,390.15,390.05,390.08,6375,1616761020000
74,390.07,390.08,390.06,390.07,3895,1616761080000
75,390.08,390.18,390.08,390.15,8179,1616761140000
76,390.15,390.18,390.14,390.18,4100,1616761200000
77,390.18,390.19,390.15,390.19,4303,1616761260000
78,390.17,390.17,390.15,390.15,223,1616761320000
79,390.15,390.16,390.15,390.16,5433,1616761380000
80,390.14,390.14,390.09,390.09,1574,1616761440000
81,390.09,390.11,390.09,390.11,6146,1616761500000
82,390.07,390.07,390.05,390.05,500,1616761560000
83,390.05,390.07,390.05,390.07,5058,1616761620000
84,390.06,390.08,390.01,390.07,6089,1616761680000
85,390.12,390.12,390.09,390.12,4945,1616761740000
86,390.09,390.19,390.09,390.19,6039,1616761800000
87,390.14,390.31,390.14,390.24,30957,1616761860000
88,390.25,390.25,390.2,390.25,9500,1616761920000
89,390.26,390.39,390.23,390.36,4200,1616762040000
90,390.36,390.44,390.36,390.43,2315,1616762100000
91,390.43,390.47,390.43,390.47,8885,1616762160000
92,390.43,390.48,390.4,390.48,4100,1616762220000
93,390.6,390.73,390.6,390.73,5011,1616762280000
94,390.72,390.74,390.69,390.7,3727,1616762340000
95,390.67,390.72,390.64,390.64,2091,1616762400000
