,open,high,low,close,volume,time,AVG,PV,cumPV,cumV,VWAP,EMA
0,391.1,391.2,391.1,391.16,1660,07:00:00,391.15,649309.0,649309.0,1660,391.15,391.15
1,391.15,391.19,391.11,391.13,5417,07:01:00,391.14,2118805.38,2768114.38,7077,391.14,391.1474999999999
2,391.12,391.15,391.11,391.15,1698,07:02:00,391.14,664155.72,3432270.1,8775,391.14,391.1456249999999
3,391.1,391.1,391.06,391.06,3984,07:03:00,391.07,1558022.88,4990292.98,12759,391.12,391.1267187499999
4,391.05,391.06,391.03,391.03,5715,07:04:00,391.04,2234793.6,7225086.58,18474,391.09,391.10503906249994
5,391.03,391.06,391.0,391.05,50252,07:05:00,391.04,19650542.08,26875628.66,68726,391.05,391.0887792968749
6,391.16,391.16,391.06,391.06,900,07:06:00,391.09,351981.0,27227609.66,69626,391.06,391.08908447265617
7,390.93,390.93,390.92,390.92,479,07:07:00,390.92,187250.68,27414860.34,70105,391.05,391.04681335449214
8,390.94,390.94,390.85,390.85,955,07:08:00,390.88,373290.4,27788150.74,71060,391.05,391.00511001586915
9,390.88,390.9,390.88,390.9,523,07:09:00,390.89,204435.47,27992586.21,71583,391.05,390.9763325119019
10,390.93,390.93,390.87,390.87,1300,07:10:00,390.89,508157.0,28500743.21,72883,391.05,390.95474938392636
11,390.93,390.95,390.93,390.95,600,07:11:00,390.94,234564.0,28735307.21,73483,391.05,390.9510620379448
12,390.93,390.95,390.93,390.95,500,07:12:00,390.94,195470.0,28930777.21,73983,391.05,390.9482965284586
13,390.95,390.95,390.9,390.9,1214,07:13:00,390.92,474576.88,29405354.09,75197,391.04,390.94122239634396
14,390.93,390.96,390.91,390.95,990,07:14:00,390.94,387030.6,29792384.69,76187,391.04,390.94091679725796
15,390.95,391.05,390.95,391.02,2460,07:15:00,391.01,961884.6,30754269.29,78647,391.04,390.95818759794344
16,390.98,391.1,390.98,391.1,611,07:16:00,391.06,238937.66,30993206.95,79258,391.04,390.9836406984576
17,391.08,391.12,391.06,391.12,2450,07:17:00,391.1,958195.0,31951401.95,81708,391.04,391.0127305238432
18,391.11,391.11,391.11,391.11,200,07:18:00,391.11,78222.0,32029623.95,81908,391.04,391.03704789288236
19,391.09,391.09,391.07,391.07,600,07:19:00,391.08,234648.0,32264271.95,82508,391.04,391.04778591966175
20,391.13,391.2,391.13,391.2,900,07:20:00,391.18,352062.0,32616333.95,83408,391.05,391.08083943974634
21,391.2,391.21,391.2,391.21,200,07:21:00,391.21,78242.0,32694575.95,83608,391.05,391.11312957980977
22,391.21,391.32,391.2,391.32,953,07:22:00,391.28,372889.84,33067465.79,84561,391.05,391.1548471848573
23,391.35,391.52,391.33,391.52,8650,07:23:00,391.46,3386129.0,36453594.79,93211,391.09,391.231135388643
24,391.52,391.54,391.47,391.5,11650,07:24:00,391.5,4560975.0,41014569.79,104861,391.13,391.29835154148225
25,391.5,391.5,391.34,391.34,10600,07:25:00,391.39,4148734.0,45163303.79,115461,391.16,391.3212636561117
26,391.38,391.39,391.38,391.39,500,07:26:00,391.39,195695.0,45358998.79,115961,391.16,391.33844774208376
27,391.38,391.38,391.33,391.33,2700,07:27:00,391.35,1056645.0,46415643.79,118661,391.16,391.3413358065628
28,391.39,391.39,391.37,391.37,899,07:28:00,391.38,351850.62,46767494.41,119560,391.16,391.3510018549222
29,391.32,391.34,391.32,391.34,1598,07:29:00,391.33,625345.34,47392839.75,121158,391.17,391.3457513911916
30,391.42,391.42,391.41,391.41,523,07:30:00,391.41,204707.43,47597547.18,121681,391.17,391.3618135433937
31,391.45,391.5,391.45,391.5,3650,07:31:00,391.48,1428902.0,49026449.18,125331,391.18,391.39136015754525
32,391.52,391.52,391.52,391.52,1467,07:32:00,391.52,574359.84,49600809.02,126798,391.18,391.42352011815893
33,391.52,391.52,391.47,391.47,3031,07:33:00,391.49,1186606.19,50787415.21,129829,391.19,391.4401400886192
34,391.46,391.46,391.46,391.46,100,07:34:00,391.46,39146.0,50826561.21,129929,391.19,391.4451050664644
35,391.49,391.54,391.49,391.54,15135,07:35:00,391.52,5925655.2,56752216.41,145064,391.22,391.46382879984833
36,391.54,391.55,391.52,391.53,1617,07:36:00,391.53,633104.01,57385320.42,146681,391.23,391.48037159988627
37,391.56,391.56,391.56,391.56,102,07:38:00,391.56,39939.12,57425259.54,146783,391.23,391.5002786999147
38,391.56,391.56,391.53,391.53,2620,07:39:00,391.54,1025834.8,58451094.34,149403,391.23,391.510209024936
39,391.58,391.65,391.54,391.55,10990,07:41:00,391.58,4303464.2,62754558.54,160393,391.25,391.52765676870195
40,391.62,391.62,391.59,391.6,3100,07:42:00,391.6,1213960.0,63968518.54,163493,391.26,391.54574257652644
41,391.6,391.63,391.53,391.53,2799,07:43:00,391.56,1095976.44,65064494.98,166292,391.27,391.5493069323948
42,391.53,391.54,391.53,391.54,800,07:44:00,391.54,313232.0,65377726.98,167092,391.27,391.5469801992961
43,391.52,391.56,391.52,391.56,2922,07:45:00,391.55,1144109.1,66521836.08,170014,391.27,391.5477351494721
44,391.55,391.59,391.51,391.59,5298,07:46:00,391.56,2074484.88,68596320.96,175312,391.28,391.55080136210404
45,391.56,391.57,391.56,391.57,416,07:47:00,391.57,162893.12,68759214.08,175728,391.28,391.555601021578
46,391.59,391.59,391.5,391.5,1319,07:48:00,391.53,516428.07,69275642.15,177047,391.28,391.5492007661835
47,391.5,391.53,391.5,391.52,2900,07:49:00,391.52,1135408.0,70411050.15,179947,391.29,391.5419005746376
48,391.52,391.56,391.52,391.56,1002,07:50:00,391.55,392333.1,70803383.25,180949,391.29,391.5439254309782
