,open,high,low,close,volume,datetime
0,390.82,390.83,390.81,390.81,4900,1616583600000
1,390.82,390.84,390.82,390.83,2750,1616583660000
2,390.8,390.81,390.8,390.81,1300,1616583720000
3,390.8,390.88,390.8,390.88,710,1616583780000
4,390.9,390.9,390.87,390.87,800,1616583840000
5,390.95,391.0,390.95,391.0,1200,1616583900000
6,391.0,391.0,390.98,390.98,750,1616583960000
7,390.93,390.95,390.93,390.95,7480,1616584020000
8,390.95,391.05,390.95,391.05,1300,1616584080000
9,391.05,391.26,391.04,391.19,32935,1616584140000
10,391.22,391.23,391.14,391.2,17996,1616584200000
11,391.18,391.2,391.18,391.2,1265,1616584260000
12,391.2,391.31,391.2,391.3,5800,1616584320000
13,391.3,391.31,391.27,391.31,11923,1616584380000
14,391.3,391.31,391.3,391.31,1909,1616584440000
15,391.34,391.36,391.33,391.35,21700,1616584500000
16,391.39,391.46,391.39,391.45,4210,1616584560000
17,391.46,391.46,391.37,391.37,14910,1616584620000
18,391.38,391.4,391.38,391.39,2000,1616584680000
19,391.36,391.36,391.29,391.33,2800,1616584740000
20,391.32,391.34,391.3,391.3,1850,1616584800000
21,391.31,391.31,391.21,391.21,899,1616584860000
22,391.23,391.23,391.23,391.23,200,1616584920000
23,391.3,391.32,391.3,391.32,2500,1616584980000
24,391.33,391.37,391.32,391.37,2397,1616585040000
25,391.38,391.4,391.37,391.38,2840,1616585100000
26,391.39,391.39,391.29,391.3,4400,1616585160000
27,391.32,391.37,391.13,391.21,15200,1616585220000
28,391.18,391.18,391.0,391.1,6428,1616585280000
29,391.17,391.2,391.17,391.2,300,1616585340000
30,391.22,391.24,391.2,391.24,900,1616585400000
31,391.25,391.25,391.24,391.24,400,1616585460000
32,391.24,391.24,391.21,391.22,1150,1616585520000
33,391.17,391.18,391.17,391.18,899,1616585580000
34,391.14,391.14,391.13,391.13,4700,1616585640000
35,391.11,391.11,391.0,391.04,21392,1616585700000
36,391.07,391.07,391.01,391.01,800,1616585760000
37,391.06,391.06,391.03,391.03,200,1616585820000
38,391.04,391.04,391.0,391.04,6549,1616585880000
39,390.97,390.97,390.97,390.97,100,1616585940000
40,390.97,390.97,390.97,390.97,100,1616586000000
41,390.99,391.0,390.95,390.95,3033,1616586060000
42,390.93,390.93,390.92,390.92,700,1616586120000
43,390.92,390.92,390.81,390.83,2845,1616586180000
44,390.8,390.82,390.8,390.81,697,1616586240000
45,390.79,390.81,390.77,390.79,1862,1616586300000
46,390.79,390.79,390.75,390.75,3257,1616586360000
