,open,high,low,close,volume,time,AVG,PV,cumPV,cumV,VWAP,EMA
0,389.76,389.81,389.76,389.81,3715,07:00:00,389.79,1448069.85,1448069.85,3715,389.79,389.79
1,389.81,389.91,389.81,389.91,8069,07:01:00,389.88,3145941.72,4594011.57,11784,389.85,389.8125
2,389.9,389.9,389.88,389.9,1120,07:02:00,389.89,436676.8,5030688.37,12904,389.85,389.83187499999997
3,389.92,389.97,389.92,389.96,2168,07:03:00,389.95,845411.6,5876099.97,15072,389.87,389.86140625
4,390.0,390.21,389.87,390.21,17796,07:04:00,390.1,6942219.6,12818319.57,32868,389.99,389.92105468750003
5,390.21,390.22,390.17,390.22,1200,07:05:00,390.2,468240.0,13286559.57,34068,390.0,389.990791015625
6,390.28,390.29,390.15,390.15,734,07:06:00,390.2,286406.8,13572966.37,34802,390.01,390.04309326171875
7,390.17,390.17,390.11,390.11,720,07:07:00,390.13,280893.6,13853859.97,35522,390.01,390.06481994628905
8,390.12,390.13,390.12,390.12,300,07:08:00,390.12,117036.0,13970895.97,35822,390.01,390.0786149597168
9,390.14,390.14,390.1,390.12,700,07:09:00,390.12,273084.0,14243979.97,36522,390.01,390.0889612197876
10,390.12,390.16,390.08,390.16,2890,07:10:00,390.13,1127475.7,15371455.67,39412,390.02,390.09922091484077
11,390.169,390.19,390.169,390.19,500,07:11:00,390.18,195090.0,15566545.67,39912,390.02,390.1194156861306
12,390.19,390.25,390.19,390.25,27795,07:12:00,390.23,10846442.85,26412988.52,67707,390.11,390.14706176459794
13,390.21,390.22,390.21,390.22,3100,07:13:00,390.22,1209682.0,27622670.52,70807,390.11,390.16529632344844
14,390.2,390.25,390.19,390.19,5087,07:14:00,390.21,1984998.27,29607668.79,75894,390.12,390.1764722425863
15,390.19,390.23,390.18,390.2,5837,07:15:00,390.2,2277597.4,31885266.19,81731,390.12,390.18235418193973
16,390.18,390.23,390.16,390.22,11880,07:16:00,390.2,4635576.0,36520842.19,93611,390.13,390.1867656364548
17,390.21,390.31,390.21,390.31,10576,07:17:00,390.28,4127601.28,40648443.47,104187,390.15,390.2100742273411
18,390.27,390.4,390.27,390.38,8097,07:18:00,390.35,3160663.95,43809107.42,112284,390.16,390.24505567050585
19,390.37,390.38,390.3,390.338,1400,07:19:00,390.34,546476.0,44355583.42,113684,390.17,390.2687917528794
20,390.3,390.4,390.3,390.4,11491,07:20:00,390.37,4485741.67,48841325.09,125175,390.18,390.2940938146595
21,390.39,390.4,390.35,390.35,7813,07:21:00,390.37,3049960.81,51891285.9,132988,390.2,390.31307036099463
22,390.35,390.36,390.35,390.35,2287,07:22:00,390.35,892730.45,52784016.35,135275,390.2,390.322302770746
23,390.36,390.41,390.36,390.41,7493,07:23:00,390.39,2925192.27,55709208.62,142768,390.21,390.3392270780595
24,390.37,390.45,390.37,390.43,1100,07:24:00,390.42,429462.0,56138670.62,143868,390.21,390.3594203085446
25,390.398,390.398,390.398,390.398,100,07:25:00,390.4,39040.0,56177710.62,143968,390.21,390.3695652314085
26,390.42,390.45,390.42,390.45,1970,07:26:00,390.44,769166.8,56946877.42,145938,390.21,390.38717392355636
27,390.44,390.5,390.44,390.5,8143,07:27:00,390.48,3179678.64,60126556.06,154081,390.23,390.41038044266725
28,390.55,390.58,390.52,390.57,5585,07:28:00,390.56,2181277.6,62307833.66,159666,390.24,390.4477853320004
29,390.65,390.66,390.57,390.57,6190,07:29:00,390.6,2417814.0,64725647.66,165856,390.25,390.4858389990003
30,390.6,390.6,390.55,390.55,11555,07:30:00,390.57,4513036.35,69238684.01,177411,390.27,390.5068792492502
31,390.56,390.56,390.56,390.56,445,07:31:00,390.56,173799.2,69412483.21,177856,390.27,390.5201594369376
32,390.55,390.55,390.51,390.52,700,07:32:00,390.53,273371.0,69685854.21,178556,390.27,390.5226195777032
33,390.52,390.55,390.52,390.55,5769,07:33:00,390.54,2253025.26,71938879.47,184325,390.28,390.5269646832774
34,390.54,390.56,390.53,390.56,501,07:34:00,390.55,195665.55,72134545.02,184826,390.28,390.53272351245806
35,390.56,390.56,390.54,390.54,1061,07:35:00,390.55,414373.55,72548918.57,185887,390.29,390.53704263434355
36,390.61,390.61,390.61,390.61,497,07:36:00,390.61,194133.17,72743051.74,186384,390.29,390.5552819757577
37,390.71,390.71,390.62,390.62,1740,07:37:00,390.65,679731.0,73422782.74,188124,390.29,390.5789614818183
38,390.64,390.65,390.64,390.65,5971,07:38:00,390.65,2332571.15,75755353.89,194095,390.3,390.59672111136376
39,390.65,390.7,390.65,390.7,2473,07:39:00,390.68,966151.64,76721505.53,196568,390.31,390.6175408335228
40,390.7,390.72,390.67,390.67,5593,07:40:00,390.69,2185129.17,78906634.7,202161,390.32,390.63565562514214
41,390.65,390.679,390.57,390.61,2039,07:41:00,390.62,796474.18,79703108.88,204200,390.32,390.6317417188566
42,390.6,390.61,390.6,390.61,400,07:42:00,390.61,156244.0,79859352.88,204600,390.32,390.62630628914246
43,390.55,390.56,390.48,390.48,1100,07:43:00,390.51,429561.0,80288913.88,205700,390.32,390.5972297168568
44,390.47,390.47,390.4,390.47,5960,07:44:00,390.45,2327082.0,82615995.88,211660,390.32,390.5604222876426
45,390.47,390.51,390.45,390.47,1401,07:45:00,390.48,547062.48,83163058.36,213061,390.33,390.54031671573193
46,390.5,390.52,390.5,390.5,6389,07:46:00,390.51,2494968.39,85658026.75,219450,390.33,390.53273753679895
47,390.52,390.6,390.52,390.6,2795,07:47:00,390.57,1091643.15,86749669.9,222245,390.33,390.5420531525992
48,390.59,390.59,390.57,390.57,314,07:48:00,390.58,122642.12,86872312.02,222559,390.33,390.55153986444935
49,390.56,390.56,390.56,390.56,300,07:50:00,390.56,117168.0,86989480.02,222859,390.33,390.553654898337
50,390.55,390.55,390.55,390.55,569,07:51:00,390.55,222222.95,87211702.97,223428,390.33,390.55274117375274
51,390.54,390.548,390.51,390.51,2601,07:52:00,390.52,1015742.52,88227445.49,226029,390.34,390.54455588031453
52,390.55,390.55,390.55,390.55,100,07:53:00,390.55,39055.0,88266500.49,226129,390.34,390.5459169102359
53,390.548,390.548,390.548,390.548,100,07:54:00,390.55,39055.0,88305555.49,226229,390.34,390.5469376826769
54,390.57,390.57,390.57,390.57,100,07:55:00,390.57,39057.0,88344612.49,226329,390.34,390.5527032620077
55,390.57,390.57,390.57,390.57,420,07:56:00,390.57,164039.4,88508651.89,226749,390.34,390.55702744650574
56,390.6,390.6,390.58,390.58,1188,07:58:00,390.59,464020.92,88972672.81,227937,390.34,390.5652705848793
57,390.51,390.53,390.51,390.53,826,07:59:00,390.52,322569.52,89295242.33,228763,390.34,390.55395293865945
58,390.56,390.56,390.42,390.42,2387,08:00:00,390.47,932051.89,90227294.22,231150,390.34,390.5329647039946
59,390.46,390.46,390.4,390.43,900,08:01:00,390.43,351387.0,90578681.22,232050,390.34,390.50722352799596
60,390.43,390.44,390.4,390.4,720,08:02:00,390.41,281095.2,90859776.42,232770,390.34,390.482917645997
61,390.4,390.42,390.31,390.31,4748,08:03:00,390.35,1853381.8,92713158.22,237518,390.34,390.4496882344978
62,390.29,390.29,390.28,390.285,3422,08:04:00,390.28,1335538.16,94048696.38,240940,390.34,390.4072661758733
63,390.32,390.38,390.32,390.38,2400,08:05:00,390.36,936864.0,94985560.38,243340,390.34,390.39544963190497
64,390.34,390.34,390.24,390.25,6054,08:06:00,390.28,2362755.12,97348315.5,249394,390.34,390.3665872239287
65,390.25,390.25,390.24,390.24,2279,08:07:00,390.24,889356.96,98237672.46,251673,390.34,390.33494041794654
66,390.26,390.26,390.26,390.26,105,08:08:00,390.26,40977.3,98278649.76,251778,390.34,390.3162053134599
67,390.28,390.31,390.26,390.31,300,08:09:00,390.29,117087.0,98395736.76,252078,390.34,390.3096539850949
68,390.3,390.33,390.3,390.33,1521,08:10:00,390.32,593676.72,98989413.48,253599,390.34,390.31224048882115
69,390.31,390.31,390.3,390.3,665,08:11:00,390.3,259549.5,99248962.98,254264,390.34,390.30918036661586
70,390.25,390.25,390.25,390.25,2300,08:12:00,390.25,897575.0,100146537.98,256564,390.34,390.2943852749619
71,390.25,390.28,390.25,390.28,447,08:13:00,390.27,174450.69,100320988.67,257011,390.34,390.28828895622144
72,390.34,390.34,390.34,390.34,1573,08:14:00,390.34,614004.82,100934993.49,258584,390.34,390.301216717166
73,390.33,390.33,390.24,390.24,500,08:15:00,390.27,195135.0,101130128.49,259084,390.34,390.29341253787453
74,390.33,390.35,390.28,390.28,3695,08:17:00,390.3,1442158.5,102572286.99,262779,390.34,390.2950594034059
75,390.3,390.33,390.27,390.27,2520,08:18:00,390.29,983530.8,103555817.79,265299,390.34,390.2937945525544
76,390.25,390.2604,390.25,390.26,2300,08:19:00,390.26,897598.0,104453415.79,267599,390.34,390.2853459144158
77,390.34,390.39,390.34,390.39,2562,08:20:00,390.37,1000127.94,105453543.73,270161,390.34,390.3065094358119
78,390.4,390.44,390.4,390.4,3400,08:21:00,390.41,1327394.0,106780937.73,273561,390.34,390.33238207685895
79,390.36,390.36,390.33,390.33,675,08:22:00,390.34,263479.5,107044417.23,274236,390.34,390.3342865576442
80,390.36,390.39,390.36,390.39,730,08:23:00,390.38,284977.4,107329394.63,274966,390.34,390.34571491823317
81,390.38,390.38,390.38,390.38,100,08:24:00,390.38,39038.0,107368432.63,275066,390.34,390.3542861886749
82,390.43,390.44,390.41,390.41,400,08:25:00,390.42,156168.0,107524600.63,275466,390.34,390.3707146415062
83,390.41,390.41,390.4,390.4,200,08:26:00,390.4,78080.0,107602680.63,275666,390.34,390.37803598112964
84,390.34,390.34,390.3,390.3,4345,08:27:00,390.31,1695896.95,109298577.58,280011,390.34,390.3610269858472
85,390.31,390.31,390.31,390.31,600,08:28:00,390.31,234186.0,109532763.58,280611,390.34,390.3482702393854
86,390.31,390.31,390.31,390.31,165,08:29:00,390.31,64401.15,109597164.73,280776,390.34,390.33870267953904
87,390.28,390.29,390.2,390.2,2331,08:30:00,390.23,909626.13,110506790.86,283107,390.34,390.3115270096543
88,390.28,390.3,390.28,390.29,858,08:31:00,390.29,334868.82,110841659.68,283965,390.34,390.3061452572407
89,390.32,390.35,390.32,390.35,475,08:32:00,390.34,185411.5,111027071.18,284440,390.34,390.31460894293053
90,390.28,390.36,390.28,390.36,600,08:33:00,390.33,234198.0,111261269.18,285040,390.34,390.31845670719787
91,390.38,390.39,390.38,390.39,910,08:34:00,390.39,355254.9,111616524.08,285950,390.34,390.3363425303984
92,390.36,390.36,390.32,390.32,2000,08:35:00,390.33,780660.0,112397184.08,287950,390.34,390.3347568977988
93,390.3,390.37,390.29,390.34,1000,08:36:00,390.33,390330.0,112787514.08,288950,390.34,390.3335676733491
94,390.31,390.31,390.21,390.21,5305,08:37:00,390.24,2070223.2,114857737.28,294255,390.33,390.3101757550118
95,390.21,390.28,390.09,390.09,13150,08:38:00,390.15,5130472.5,119988209.78,307405,390.33,390.27013181625887
96,390.1,390.1,390.07,390.07,2451,08:39:00,390.08,956086.08,120944295.86,309856,390.32,390.2225988621941
97,390.04,390.07,390.01,390.05,1934,08:40:00,390.04,754337.36,121698633.22,311790,390.32,390.1769491466456
98,390.06,390.06,390.04,390.04,1225,08:41:00,390.05,477811.25,122176444.47,313015,390.32,390.14521185998416
99,390.06,390.1,390.06,390.1,1700,08:42:00,390.09,663153.0,122839597.47,314715,390.32,390.1314088949881
100,390.11,390.11,390.1,390.1,757,08:43:00,390.1,295305.7,123134903.17,315472,390.32,390.1235566712411
101,390.09,390.11,390.06,390.11,2325,08:44:00,390.09,906959.25,124041862.42,317797,390.32,390.11516750343077
102,390.08,390.08,390.08,390.08,603,08:45:00,390.08,235218.24,124277080.66,318400,390.32,390.1063756275731
103,390.11,390.14,390.11,390.11,1549,08:47:00,390.12,604295.88,124881376.54,319949,390.32,390.10978172067985
104,390.11,390.13,390.09,390.13,2850,08:48:00,390.12,1111842.0,125993218.54,322799,390.31,390.1123362905099
