,open,high,low,close,volume,time,AVG,PV,cumPV,cumV,VWAP,EMA
0,390.82,390.83,390.81,390.81,4900,07:00:00,390.82,1915018.0,1915018.0,4900,390.82,390.82
1,390.82,390.84,390.82,390.83,2750,07:01:00,390.83,1074782.5,2989800.5,7650,390.82,390.8225
2,390.8,390.81,390.8,390.81,1300,07:02:00,390.81,508053.0,3497853.5,8950,390.82,390.819375
3,390.8,390.88,390.8,390.88,710,07:03:00,390.85,277503.5,3775357.0,9660,390.82,390.82703125
4,390.9,390.9,390.87,390.87,800,07:04:00,390.88,312704.0,4088061.0,10460,390.83,390.84027343750006
5,390.95,391.0,390.95,391.0,1200,07:05:00,390.98,469176.0,4557237.0,11660,390.84,390.8752050781251
6,391.0,391.0,390.98,390.98,750,07:06:00,390.99,293242.5,4850479.5,12410,390.85,390.90390380859384
7,390.93,390.95,390.93,390.95,7480,07:07:00,390.94,2924231.2,7774710.7,19890,390.89,390.9129278564454
8,390.95,391.05,390.95,391.05,1300,07:08:00,391.02,508326.0,8283036.7,21190,390.89,390.93969589233404
9,391.05,391.26,391.04,391.19,32935,07:09:00,391.16,12882854.6,21165891.3,54125,391.06,390.9947719192506
10,391.22,391.23,391.14,391.2,17996,07:10:00,391.19,7039855.24,28205746.54,72121,391.09,391.04357893943796
11,391.18,391.2,391.18,391.2,1265,07:11:00,391.19,494855.35,28700601.89,73386,391.09,391.0801842045785
12,391.2,391.31,391.2,391.3,5800,07:12:00,391.27,2269366.0,30969967.89,79186,391.1,391.12763815343385
13,391.3,391.31,391.27,391.31,11923,07:13:00,391.3,4665469.9,35635437.79,91109,391.13,391.17072861507535
14,391.3,391.31,391.3,391.31,1909,07:14:00,391.31,747010.79,36382448.58,93018,391.13,391.2055464613065
15,391.34,391.36,391.33,391.35,21700,07:15:00,391.35,8492295.0,44874743.58,114718,391.17,391.2416598459798
16,391.39,391.46,391.39,391.45,4210,07:16:00,391.43,1647920.3,46522663.88,118928,391.18,391.28874488448486
17,391.46,391.46,391.37,391.37,14910,07:17:00,391.4,5835774.0,52358437.88,133838,391.21,391.3165586633636
18,391.38,391.4,391.38,391.39,2000,07:18:00,391.39,782780.0,53141217.88,135838,391.21,391.33491899752266
19,391.36,391.36,391.29,391.33,2800,07:19:00,391.33,1095724.0,54236941.88,138638,391.21,391.333689248142
20,391.32,391.34,391.3,391.3,1850,07:20:00,391.31,723923.5,54960865.38,140488,391.21,391.32776693610646
21,391.31,391.31,391.21,391.21,899,07:21:00,391.24,351724.76,55312590.14,141387,391.21,391.30582520207986
22,391.23,391.23,391.23,391.23,200,07:22:00,391.23,78246.0,55390836.14,141587,391.21,391.2868689015599
23,391.3,391.32,391.3,391.32,2500,07:23:00,391.31,978275.0,56369111.14,144087,391.22,391.2926516761699
24,391.33,391.37,391.32,391.37,2397,07:24:00,391.35,938065.95,57307177.09,146484,391.22,391.30698875712744
25,391.38,391.4,391.37,391.38,2840,07:25:00,391.38,1111519.2,58418696.29,149324,391.22,391.32524156784564
26,391.39,391.39,391.29,391.3,4400,07:26:00,391.33,1721852.0,60140548.29,153724,391.22,391.3264311758842
27,391.32,391.37,391.13,391.21,15200,07:27:00,391.24,5946848.0,66087396.29,168924,391.23,391.30482338191314
28,391.18,391.18,391.0,391.1,6428,07:28:00,391.09,2513926.52,68601322.81,175352,391.22,391.25111753643483
29,391.17,391.2,391.17,391.2,300,07:29:00,391.19,117357.0,68718679.81,175652,391.22,391.23583815232615
30,391.22,391.24,391.2,391.24,900,07:30:00,391.23,352107.0,69070786.81,176552,391.22,391.23437861424463
31,391.25,391.25,391.24,391.24,400,07:31:00,391.24,156496.0,69227282.81,176952,391.22,391.2357839606835
32,391.24,391.24,391.21,391.22,1150,07:32:00,391.22,449903.0,69677185.81,178102,391.22,391.23183797051263
33,391.17,391.18,391.17,391.18,899,07:33:00,391.18,351670.82,70028856.63,179001,391.22,391.2188784778845
34,391.14,391.14,391.13,391.13,4700,07:34:00,391.13,1838311.0,71867167.63,183701,391.22,391.19665885841334
35,391.11,391.11,391.0,391.04,21392,07:35:00,391.05,8365341.6,80232509.23,205093,391.2,391.15999414381
36,391.07,391.07,391.01,391.01,800,07:36:00,391.03,312824.0,80545333.23,205893,391.2,391.1274956078575
37,391.06,391.06,391.03,391.03,200,07:37:00,391.04,78208.0,80623541.23,206093,391.2,391.1056217058931
38,391.04,391.04,391.0,391.04,6549,07:38:00,391.03,2560855.47,83184396.7,212642,391.19,391.0867162794198
39,390.97,390.97,390.97,390.97,100,07:39:00,390.97,39097.0,83223493.7,212742,391.19,391.0575372095649
40,390.97,390.97,390.97,390.97,100,07:40:00,390.97,39097.0,83262590.7,212842,391.19,391.03565290717364
41,390.99,391.0,390.95,390.95,3033,07:41:00,390.97,1185812.01,84448402.71,215875,391.19,391.0192396803802
42,390.93,390.93,390.92,390.92,700,07:42:00,390.92,273644.0,84722046.71,216575,391.19,390.9944297602852
43,390.92,390.92,390.81,390.83,2845,07:43:00,390.85,1111968.25,85834014.96,219420,391.19,390.95832232021394
44,390.8,390.82,390.8,390.81,697,07:44:00,390.81,272394.57,86106409.53,220117,391.18,390.92124174016044
45,390.79,390.81,390.77,390.79,1862,07:45:00,390.79,727650.98,86834060.51,221979,391.18,390.8884313051203
