,open,high,low,close,volume,datetime
0,389.76,389.81,389.76,389.81,3715,1616410800000
1,389.81,389.91,389.81,389.91,8069,1616410860000
2,389.9,389.9,389.88,389.9,1120,1616410920000
3,389.92,389.97,389.92,389.96,2168,1616410980000
4,390.0,390.21,389.87,390.21,17796,1616411040000
5,390.21,390.22,390.17,390.22,1200,1616411100000
6,390.28,390.29,390.15,390.15,734,1616411160000
7,390.17,390.17,390.11,390.11,720,1616411220000
8,390.12,390.13,390.12,390.12,300,1616411280000
9,390.14,390.14,390.1,390.12,700,1616411340000
10,390.12,390.16,390.08,390.16,2890,1616411400000
11,390.169,390.19,390.169,390.19,500,1616411460000
12,390.19,390.25,390.19,390.25,27795,1616411520000
13,390.21,390.22,390.21,390.22,3100,1616411580000
14,390.2,390.25,390.19,390.19,5087,1616411640000
15,390.19,390.23,390.18,390.2,5837,1616411700000
16,390.18,390.23,390.16,390.22,11880,1616411760000
17,390.21,390.31,390.21,390.31,10576,1616411820000
18,390.27,390.4,390.27,390.38,8097,1616411880000
19,390.37,390.38,390.3,390.338,1400,1616411940000
20,390.3,390.4,390.3,390.4,11491,1616412000000
21,390.39,390.4,390.35,390.35,7813,1616412060000
22,390.35,390.36,390.35,390.35,2287,1616412120000
23,390.36,390.41,390.36,390.41,7493,1616412180000
24,390.37,390.45,390.37,390.43,1100,1616412240000
25,390.398,390.398,390.398,390.398,100,1616412300000
26,390.42,390.45,390.42,390.45,1970,1616412360000
27,390.44,390.5,390.44,390.5,8143,1616412420000
28,390.55,390.58,390.52,390.57,5585,1616412480000
29,390.65,390.66,390.57,390.57,6190,1616412540000
30,390.6,390.6,390.55,390.55,11555,1616412600000
31,390.56,390.56,390.56,390.56,445,1616412660000
32,390.55,390.55,390.51,390.52,700,1616412720000
33,390.52,390.55,390.52,390.55,5769,1616412780000
34,390.54,390.56,390.53,390.56,501,1616412840000
35,390.56,390.56,390.54,390.54,1061,1616412900000
36,390.61,390.61,390.61,390.61,497,1616412960000
37,390.71,390.71,390.62,390.62,1740,1616413020000
38,390.64,390.65,390.64,390.65,5971,1616413080000
39,390.65,390.7,390.65,390.7,2473,1616413140000
40,390.7,390.72,390.67,390.67,5593,1616413200000
41,390.65,390.679,390.57,390.61,2039,1616413260000
42,390.6,390.61,390.6,390.61,400,1616413320000
43,390.55,390.56,390.48,390.48,1100,1616413380000
44,390.47,390.47,390.4,390.47,5960,1616413440000
45,390.47,390.51,390.45,390.47,1401,1616413500000
46,390.5,390.52,390.5,390.5,6389,1616413560000
47,390.52,390.6,390.52,390.6,2795,1616413620000
48,390.59,390.59,390.57,390.57,314,1616413680000
49,390.56,390.56,390.56,390.56,300,1616413800000
50,390.55,390.55,390.55,390.55,569,1616413860000
51,390.54,390.548,390.51,390.51,2601,1616413920000
52,390.55,390.55,390.55,390.55,100,1616413980000
53,390.548,390.548,390.548,390.548,100,1616414040000
54,390.57,390.57,390.57,390.57,100,1616414100000
55,390.57,390.57,390.57,390.57,420,1616414160000
56,390.6,390.6,390.58,390.58,1188,1616414280000
57,390.51,390.53,390.51,390.53,826,1616414340000
58,390.56,390.56,390.42,390.42,2387,1616414400000
59,390.46,390.46,390.4,390.43,900,1616414460000
60,390.43,390.44,390.4,390.4,720,1616414520000
61,390.4,390.42,390.31,390.31,4748,1616414580000
62,390.29,390.29,390.28,390.285,3422,1616414640000
63,390.32,390.38,390.32,390.38,2400,1616414700000
64,390.34,390.34,390.24,390.25,6054,1616414760000
65,390.25,390.25,390.24,390.24,2279,1616414820000
66,390.26,390.26,390.26,390.26,105,1616414880000
67,390.28,390.31,390.26,390.31,300,1616414940000
68,390.3,390.33,390.3,390.33,1521,1616415000000
69,390.31,390.31,390.3,390.3,665,1616415060000
70,390.25,390.25,390.25,390.25,2300,1616415120000
71,390.25,390.28,390.25,390.28,447,1616415180000
72,390.34,390.34,390.34,390.34,1573,1616415240000
73,390.33,390.33,390.24,390.24,500,1616415300000
74,390.33,390.35,390.28,390.28,3695,1616415420000
75,390.3,390.33,390.27,390.27,2520,1616415480000
76,390.25,390.2604,390.25,390.26,2300,1616415540000
77,390.34,390.39,390.34,390.39,2562,1616415600000
78,390.4,390.44,390.4,390.4,3400,1616415660000
79,390.36,390.36,390.33,390.33,675,1616415720000
80,390.36,390.39,390.36,390.39,730,1616415780000
81,390.38,390.38,390.38,390.38,100,1616415840000
82,390.43,390.44,390.41,390.41,400,1616415900000
83,390.41,390.41,390.4,390.4,200,1616415960000
84,390.34,390.34,390.3,390.3,4345,1616416020000
85,390.31,390.31,390.31,390.31,600,1616416080000
86,390.31,390.31,390.31,390.31,165,1616416140000
87,390.28,390.29,390.2,390.2,2331,1616416200000
88,390.28,390.3,390.28,390.29,858,1616416260000
89,390.32,390.35,390.32,390.35,475,1616416320000
90,390.28,390.36,390.28,390.36,600,1616416380000
91,390.38,390.39,390.38,390.39,910,1616416440000
92,390.36,390.36,390.32,390.32,2000,1616416500000
93,390.3,390.37,390.29,390.34,1000,1616416560000
94,390.31,390.31,390.21,390.21,5305,1616416620000
95,390.21,390.28,390.09,390.09,13150,1616416680000
96,390.1,390.1,390.07,390.07,2451,1616416740000
97,390.04,390.07,390.01,390.05,1934,1616416800000
98,390.06,390.06,390.04,390.04,1225,1616416860000
99,390.06,390.1,390.06,390.1,1700,1616416920000
100,390.11,390.11,390.1,390.1,757,1616416980000
101,390.09,390.11,390.06,390.11,2325,1616417040000
102,390.08,390.08,390.08,390.08,603,1616417100000
103,390.11,390.14,390.11,390.11,1549,1616417220000
104,390.11,390.13,390.09,390.13,2850,1616417280000
105,390.12,390.12,390.04,390.04,5593,1616417340000
106,390.07,390.08,390.07,390.07,4924,1616417400000
107,390.07,390.08,390.07,390.08,4275,1616417460000
108,390.08,390.08,390.04,390.04,8337,1616417520000
109,390.07,390.09,390.07,390.09,12689,1616417580000
110,390.12,390.19,390.1,390.17,6387,1616417640000
111,390.16,390.23,390.16,390.22,3412,1616417700000
112,390.19,390.25,390.19,390.25,3592,1616417760000
113,390.25,390.28,390.25,390.28,1896,1616417820000
114,390.28,390.3,390.28,390.3,2389,1616417880000
115,390.26,390.26,390.21,390.21,1503,1616417940000
116,390.18,390.21,390.17,390.17,4526,1616418000000
117,390.17,390.21,390.17,390.21,2330,1616418060000
118,390.27,390.28,390.27,390.27,5097,1616418120000
119,390.27,390.3,390.27,390.3,638,1616418180000
120,390.31,390.33,390.3,390.33,1512,1616418240000
121,390.31,390.31,390.26,390.27,4057,1616418300000
122,390.3,390.33,390.3,390.33,4100,1616418360000
123,390.34,390.36,390.34,390.36,4012,1616418420000
124,390.36,390.37,390.27,390.27,9800,1616418480000
125,390.27,390.31,390.26,390.3,1015,1616418540000
126,390.32,390.33,390.3,390.31,2795,1616418600000
127,390.3,390.3,390.3,390.3,615,1616418660000
128,390.35,390.37,390.35,390.37,600,1616418720000
129,390.4,390.4,390.4,390.4,472,1616418780000
130,390.4,390.4,390.36,390.36,870,1616418840000
131,390.36,390.4,390.34,390.4,6495,1616418900000
132,390.41,390.42,390.38,390.42,1891,1616418960000
133,390.43,390.46,390.43,390.46,7129,1616419020000
134,390.44,390.46,390.4399,390.45,2300,1616419080000
135,390.43,390.44,390.41,390.41,900,1616419140000
136,390.43,390.44,390.36,390.37,13957,1616419200000
137,390.35,390.35,390.3,390.31,7997,1616419260000
138,390.3,390.3,390.22,390.22,19005,1616419320000
139,390.28,390.4,390.28,390.4,1851,1616419380000
140,390.43,390.44,390.31,390.31,3357,1616419440000
141,390.34,390.34,390.29,390.29,523,1616419500000
142,390.28,390.3,390.25,390.3,1375,1616419560000
143,390.33,390.33,390.33,390.33,700,1616419620000
144,390.35,390.35,390.23,390.24,15167,1616419680000
145,390.23,390.26,390.03,390.06,47302,1616419740000
146,390.03,390.56,390.01,390.385,627452,1616419800000
147,390.38,390.44,390.07,390.2,263200,1616419860000
148,390.2,390.4,390.04,390.18,388593,1616419920000
149,390.17,390.1701,390.02,390.14,288462,1616419980000
150,390.13,390.17,390.02,390.043,159870,1616420040000
151,390.03,390.22,389.97,390.11,172871,1616420100000
152,390.13,390.42,390.09,390.345,199788,1616420160000
153,390.35,390.47,390.15,390.18,314691,1616420220000
154,390.18,390.41,390.09,390.359,265264,1616420280000
155,390.35,390.81,390.35,390.71,420854,1616420340000
156,390.72,390.8,390.26,390.3217,345486,1616420400000
157,390.33,390.53,390.13,390.53,392597,1616420460000
158,390.53,390.665,390.35,390.63,141695,1616420520000
159,390.64,390.73,390.41,390.47,230444,1616420580000
160,390.465,390.64,390.31,390.64,205298,1616420640000
161,390.64,390.91,390.57,390.725,490778,1616420700000
162,390.72,390.74,390.58,390.64,147245,1616420760000
163,390.64,390.84,390.5911,390.74,233645,1616420820000
164,390.77,390.9,390.76,390.845,131584,1616420880000
165,390.845,391.105,390.83,391.075,182870,1616420940000
166,391.08,391.23,391.01,391.11,316147,1616421000000
167,391.1155,391.18,391.0411,391.14,118165,1616421060000
168,391.155,391.35,391.15,391.28,209683,1616421120000
169,391.3,391.41,391.28,391.4,161432,1616421180000
170,391.4,391.45,391.34,391.43,123320,1616421240000
171,391.44,391.47,391.33,391.4211,147361,1616421300000
172,391.425,391.44,391.36,391.39,133479,1616421360000
173,391.38,391.49,391.3501,391.445,102124,1616421420000
174,391.445,391.47,391.27,391.2701,248987,1616421480000
175,391.29,391.41,391.24,391.3,250043,1616421540000
176,391.3,391.63,391.29,391.55,217111,1616421600000
177,391.57,391.6,391.14,391.1411,215457,1616421660000
178,391.16,391.23,391.02,391.12,222682,1616421720000
179,391.13,391.16,391.05,391.05,143949,1616421780000
180,391.055,391.27,391.055,391.25,90981,1616421840000
181,391.26,391.46,391.22,391.46,198926,1616421900000
182,391.45,391.5,391.345,391.46,118053,1616421960000
183,391.465,391.67,391.36,391.57,175947,1616422020000
184,391.575,391.58,391.43,391.48,86477,1616422080000
185,391.495,391.5,391.14,391.34,194812,1616422140000
186,391.35,391.51,391.35,391.3758,146537,1616422200000
187,391.375,391.51,391.33,391.4301,144542,1616422260000
188,391.44,391.53,391.27,391.2717,84952,1616422320000
189,391.2819,391.34,391.07,391.32,293461,1616422380000
190,391.319,391.64,391.28,391.51,267829,1616422440000
191,391.5001,391.58,391.33,391.3619,135043,1616422500000
192,391.37,391.38,391.2019,391.245,139392,1616422560000
193,391.2301,391.32,391.19,391.26,104016,1616422620000
194,391.26,391.59,391.255,391.56,146652,1616422680000
195,391.55,391.61,391.4,391.5219,122801,1616422740000
196,391.52,391.66,391.43,391.525,175639,1616422800000
197,391.52,391.55,391.41,391.485,98094,1616422860000
198,391.4801,391.58,391.39,391.43,69372,1616422920000
199,391.4301,391.6481,391.4301,391.52,80212,1616422980000
200,391.5481,391.629,391.49,391.545,72616,1616423040000
201,391.55,391.6,391.3622,391.37,93231,1616423100000
202,391.37,391.52,391.32,391.4182,94976,1616423160000
203,391.42,391.65,391.42,391.63,124822,1616423220000
204,391.64,391.71,391.24,391.35,387556,1616423280000
205,391.37,391.51,391.35,391.44,146377,1616423340000
206,391.45,391.57,391.3055,391.36,111133,1616423400000
