,open,high,low,close,volume,time,AVG,PV,cumPV,cumV,VWAP,EMA
0,388.64,388.7,388.63,388.7,500,07:00:00,388.68,194340.0,194340.0,500,388.68,388.68
1,388.65,388.65,388.59,388.59,1161,07:01:00,388.61,451176.21,645516.21,1661,388.63,388.6625
2,388.49,388.49,388.42,388.45,300,07:02:00,388.45,116535.0,762051.21,1961,388.6,388.60937500000006
3,388.45,388.45,388.41,388.41,1530,07:03:00,388.42,594282.6,1356333.81,3491,388.52,388.5620312500001
4,388.3,388.3,388.3,388.3,500,07:05:00,388.3,194150.0,1550483.81,3991,388.5,388.49652343750006
5,388.27,388.27,388.27,388.27,100,07:06:00,388.27,38827.0,1589310.81,4091,388.49,388.43989257812507
6,388.32,388.34,388.32,388.34,437,07:07:00,388.33,169700.21,1759011.02,4528,388.47,388.41241943359375
7,388.33,388.33,388.33,388.33,175,07:09:00,388.33,67957.75,1826968.77,4703,388.47,388.3918145751953
8,388.38,388.4,388.38,388.4,600,07:10:00,388.39,233034.0,2060002.77,5303,388.46,388.39136093139643
9,388.38,388.38,388.37,388.38,1690,07:11:00,388.38,656362.2,2716364.97,6993,388.44,388.3885206985474
10,388.25,388.25,388.25,388.25,100,07:12:00,388.25,38825.0,2755189.97,7093,388.44,388.35389052391054
11,388.29,388.34,388.29,388.34,1200,07:13:00,388.32,465984.0,3221173.97,8293,388.42,388.34541789293286
12,388.35,388.35,388.35,388.35,2500,07:14:00,388.35,970875.0,4192048.97,10793,388.4,388.3465634196997
13,388.28,388.28,388.28,388.28,100,07:15:00,388.28,38828.0,4230876.97,10893,388.4,388.3299225647748
14,388.24,388.24,388.24,388.24,1000,07:16:00,388.24,388240.0,4619116.97,11893,388.39,388.3074419235811
15,388.12,388.12,388.12,388.12,100,07:17:00,388.12,38812.0,4657928.97,11993,388.39,388.26058144268586
16,388.15,388.15,388.1,388.1,2474,07:18:00,388.12,960208.88,5618137.85,14467,388.34,388.2254360820144
17,388.13,388.14,388.09,388.09,4044,07:19:00,388.11,1569516.84,7187654.69,18511,388.29,388.1965770615109
18,388.129,388.13,388.08,388.08,1400,07:20:00,388.1,543340.0,7730994.69,19911,388.28,388.1724327961332
19,388.1,388.1,388.01,388.01,375,07:21:00,388.04,145515.0,7876509.69,20286,388.27,388.13932459709986
