,open,high,low,close,volume,datetime
0,388.64,388.7,388.63,388.7,500,1616670000000
1,388.65,388.65,388.59,388.59,1161,1616670060000
2,388.49,388.49,388.42,388.45,300,1616670120000
3,388.45,388.45,388.41,388.41,1530,1616670180000
4,388.3,388.3,388.3,388.3,500,1616670300000
5,388.27,388.27,388.27,388.27,100,1616670360000
6,388.32,388.34,388.32,388.34,437,1616670420000
7,388.33,388.33,388.33,388.33,175,1616670540000
8,388.38,388.4,388.38,388.4,600,1616670600000
9,388.38,388.38,388.37,388.38,1690,1616670660000
10,388.25,388.25,388.25,388.25,100,1616670720000
11,388.29,388.34,388.29,388.34,1200,1616670780000
12,388.35,388.35,388.35,388.35,2500,1616670840000
13,388.28,388.28,388.28,388.28,100,1616670900000
14,388.24,388.24,388.24,388.24,1000,1616670960000
15,388.12,388.12,388.12,388.12,100,1616671020000
16,388.15,388.15,388.1,388.1,2474,1616671080000
17,388.13,388.14,388.09,388.09,4044,1616671140000
18,388.129,388.13,388.08,388.08,1400,1616671200000
19,388.1,388.1,388.01,388.01,375,1616671260000
20,388.06,388.06,388.01,388.01,350,1616671320000
21,387.76,387.76,387.76,387.76,100,1616671380000
22,387.69,387.79,387.65,387.67,13700,1616671440000
23,387.64,387.64,387.44,387.47,5750,1616671500000
24,387.41,387.55,387.31,387.55,5643,1616671560000
25,387.5,387.67,387.5,387.67,2514,1616671620000
26,387.64,387.64,387.64,387.64,100,1616671680000
27,387.67,387.68,387.57,387.57,2670,1616671740000
28,387.57,387.57,387.25,387.25,7396,1616671800000
29,387.23,387.4,387.22,387.22,6060,1616671860000
30,387.26,387.4,387.14,387.15,7650,1616671920000
31,387.14,387.3,387.1,387.3,2674,1616671980000
32,387.29,387.29,387.18,387.18,4010,1616672040000
33,387.14,387.14,387.0,387.08,15193,1616672100000
34,387.06,387.07,386.71,386.82,9500,1616672160000
35,386.92,386.97,386.86,386.86,18600,1616672220000
36,386.89,386.89,386.84,386.84,4800,1616672280000
37,386.77,386.82,386.71,386.81,4010,1616672340000
38,386.69,386.82,386.69,386.82,12892,1616672400000
39,386.79,386.79,386.69,386.77,6200,1616672460000
40,386.79,386.9,386.78,386.9,15799,1616672520000
41,386.94,387.03,386.85,387.03,3400,1616672580000
42,386.95,386.95,386.8,386.8,5400,1616672640000
43,386.79,386.81,386.76,386.81,4230,1616672700000
44,386.77,386.79,386.66,386.69,6727,1616672760000
45,386.73,386.83,386.73,386.76,10700,1616672820000
46,386.75,386.82,386.69,386.69,2256,1616672880000
47,386.71,386.73,386.69,386.7,1700,1616672940000
48,386.68,386.71,386.6,386.61,5000,1616673000000
49,386.64,386.64,386.45,386.49,13271,1616673060000
50,386.42,386.48,386.29,386.45,33428,1616673120000
51,386.48,386.54,386.24,386.25,11617,1616673180000
52,386.26,386.39,386.15,386.28,16360,1616673240000
53,386.2,386.35,386.2,386.22,34536,1616673300000
54,386.2,386.29,386.19,386.2,11900,1616673360000
